source	target
DLG4	LRRC1
DLG4	LYN
DLG4	NLGN1
DLG4	NLGN3
DLG4	NTRK2
DLG4	PARK2
OARD1	APP
OARD1	PARP1
OARD1	TIMM13
GBF1	EGFR
GBF1	COPE
GBF1	PLEC
GBF1	AP1G1
GBF1	NCAPH
RAPSN	BAG3
CSNK1A1	ACACA
CSNK1A1	AP3B2
CSNK1A1	APC
CSNK1A1	CTNNB1
CSNK1A1	CUL1
CSNK1A1	EGFR
CSNK1A1	FABP5
CSNK1A1	IKBKB
CSNK1A1	KPNB1
CSNK1A1	LARP1
CSNK1A1	PARK2
CSNK1A1	PCNA
CSNK1A1	PHGDH
CSNK1A1	PPP1CC
CSNK1A1	PRKDC
CSNK1A1	PSEN2
CSNK1A1	PSMB8
CSNK1A1	PSMC1
CSNK1A1	PTCH1
CSNK1A1	SQSTM1
CSNK1A1	SYT9
CSNK1A1	TP53
CSNK1A1	XRCC6
CSNK1A1	YWHAZ
IGF1R	IGF1
IGF1R	CRK
IGF1R	CTNNB1
IGF1R	APP
IGF1R	EGFR
IGF1R	SUMO1
IGF1R	STYX
IGF1R	GNAI1
IGF1R	ARHGEF12
IGF1R	DUSP10
IGF1R	IL13RA2
IGF1R	PTPN11
IGF1R	RASA1
IGF1R	SNAP29
IGF1R	TP53
IGF1R	YWHAZ
PARP1	NOTCH1
PARP1	SPP1
PARP1	NCAPD2
PARP1	TAL1
PARP1	PCNA
PARP1	XRCC6
PARP1	MYC
PARP1	CTNNB1
PARP1	EGFR
PARP1	SUMO1
PARP1	HSPA2
PARP1	XRCC1
PARP1	MYB
PARP1	UBE2I
PARP1	BIN1
PARP1	OBSL1
PARP1	MEPCE
PARP1	YWHAZ
PARP1	PRKDC
PARP1	PARG
PARP1	BAG3
PARP1	CDK2
PARP1	HSPA1B
PARP1	IKBKB
PARP1	SQSTM1
PARP1	TP53
RILP	FLCN
RILP	VPS36
RILP	HLA-DOB
RILP	HLA-DQA1
RILP	HLA-DQA2
RILP	HLA-DQB1
RILP	HLA-DQB2
RILP	HLA-DRA
RILP	HLA-DRB1
RILP	HLA-DRB5
RILP	VPS39
SLX4	EME1
SLX4	PCNA
SLX4	APP
SLX4	SUMO1
SLX4	UBE2I
SLX4	NUP50
SLX4	ERCC4
SLX4	LRRC1
GGCT	APP
GGCT	GCLM
GGCT	MYC
NDUFA13	HSPB2
NDUFA13	TMEM126B
NDUFA13	NDUFS1
NDUFA13	UQCRFS1
TGFBR2	TGFB3
TGFBR2	KCNK18
TGFBR2	CD44
TGFBR2	CTNNB1
TGFBR2	APP
TGFBR2	VPS39
TGFBR2	CLU
TGFBR2	TGFB1
TGFBR2	SCRIB
TGFBR2	PPP1CC
CAPNS1	ARR3
CAPNS1	CAPN2
CAPNS1	CSPG4
CAPNS1	FERMT2
CAPNS1	GAPDH
CAPNS1	MEPCE
CAPNS1	PAFAH1B1
CAPNS1	PCNA
CAPNS1	PDIA4
CAPNS1	RASA1
CAPNS1	YWHAZ
COPS6	IRF8
COPS6	MBTD1
COPS6	EPB41L2
COPS6	HNRNPH3
COPS6	PAFAH1B3
COPS6	HSPA8
COPS6	AMY1A
COPS6	LARP4
COPS6	PRDX1
COPS6	WIPI2
COPS6	SUMO1
COPS6	DDX3X
COPS6	CDK2
COPS6	CUL1
COPS6	EWSR1
COPS6	FBXW9
COPS6	GAPDH
COPS6	HNRNPA2B1
COPS6	HSPA1B
COPS6	HSPA5
COPS6	LPL
COPS6	SNRPC
COPS6	TFG
COPS6	TP53
HMDB0000002	SLC22A1
HMDB0000002	SLC22A2
HMDB0000002	SLC22A3
BHLHB9	APP
BHLHB9	LEO1
BHLHB9	MPP5
BHLHB9	PPP2R5E
ASS1	MYC
ASS1	APP
ASS1	YWHAZ
ASS1	HMDB0000904
ASS1	ASB9
DKK1	POTEI
DKK1	CTNNB1
DKK1	CORO1A
DKK1	TP53
DKK1	PAX6
EPHA1	DAPK1
EPHA1	PEX19
EPHA1	AHCYL1
EPHA1	CKAP5
EPHA1	EXOC8
EPHA1	FAM114A2
EPHA1	GSTP1
EPHA1	HRAS
EPHA1	PAX6
EPHA1	PBXIP1
EPHA1	PRKDC
EPHA1	PTPN11
VPS51	VPS53
VPS51	HRAS
VPS51	LMNB1
VPS51	COG8
VPS51	SNAP29
VPS51	STX10
PRKACG	AKAP5
PRKACG	ENDOG
PRKACG	HSPA8
PRKACG	PLIN1
PRKACG	PPP1CC
PRKACG	RAB11A
PRKACG	RYR2
PRKACG	YWHAZ
PRKACG	HMDB0000058
POSTN	TRAPPC2L
MAD2L1BP	MAD2L1
MAD2L1BP	TP53
MAD2L1BP	NTF3
SLC16A6	MYC
HMDB0011144	LIPI
HMDB0011144	PPAP2C
HMDB0011144	PTK2B
FAM63B	KLC1
RHOU	LYL1
RHOU	OBSCN
RHOU	ABR
RHOU	PTK2B
RHOU	NCK1
RHOU	ARHGEF12
RHOU	BDNF
RHOU	TMEM169
PLAT	LRP1
PLAT	APP
PLAT	SERPINE1
MS4A4A	SEC22A
MS4A4A	PRKDC
MS4A4A	PHGDH
MS4A4A	MAL
GSTP1	TXNL1
GSTP1	SCAF1
GSTP1	IDH2
GSTP1	MYC
GSTP1	SOD1
GSTP1	EGFR
GSTP1	ANXA5
GSTP1	CDK2
GSTP1	YWHAZ
GSTP1	HMDB0001893
GSTP1	HMDB0001448
SYNRG	GGA1
SYNRG	AP1G1
DKKL1	CRK
DKKL1	C11orf71
DKKL1	FJX1
LHX3	PSORS1C2
LHX3	CSNK2A1
LHX3	MAPK9
LHX3	FHL2
SERPINE1	ACTN4
SERPINE1	ORM1
SERPINE1	LRP1
SERPINE1	UBQLN4
SERPINE1	FBN1
SERPINE1	TP53
RYR2	HSPB2
RYR2	BIN1
